Id,Timestamp (UTC),Timestamp (Local),ETA (UTC),ETA (Local),State,Event,Latitude,Longitude,Period,Sailing Time,Total Running Hours ME,Heading,Course Made Good,Speed Over Ground,Speed Through Water,Distance Over Ground,Distance Through Water,Water Depth,Water Depth Below Keel,Draft Forward,Draft Aft,Mean Draft,Trim,Air Temp,Air Temp (Weather Provider),Engine Room Temp,Cooling Water Temp (LT),Air Press,Air Press (Weather Provider),Sea Water Temp,Sea Water Temp (Weather Provider),Sea State,Douglas Sea Scale,Wind Speed True,Wind Speed True (Weather Provider),Wind Speed Rel.,Wind Direction True,Wind Direction True (Weather Provider),Wind Direction Rel.,Wave Height,Wave Height (Weather Provider),Wave Direction,Swell Height,Swell Height (Weather Provider),Swell Direction,Swell Direction (Weather Provider),Swell Period (Weather Provider),Visibility (Weather Provider),Cargo Weight,Cargo TEU full,Cargo TEU empty,Cargo Reefers,Cargo Volume,Cargo Passengers,Ballast Weight,AVG Shaft RPM,AVG Slip,Total FOC,Total FOC (ISO),Total FOC ME,Total FOC ME (ISO),Total FOC AE,Total FOC AE (ISO),Total FOC AB,Total FOC AB (ISO),Total FOC IGS,Total FOC IGS (ISO),Total FOC INC,Total FOC INC (ISO),Total FOC HFO,Total FOC HFO HS,Total FOC HFO LS,Total FOC HFO LLS,Total FOC LFO,Total FOC MDO,Total FOC MGO,Total FOC Propane,Total FOC Butane,Total FOC LNG,Total FOC Methanol,Total FOC Ethanol,Total FOC Undef,Total SFOC ME,Total SFOC AE,Total SFOC ME (ISO),Total SFOC AE (ISO),Total CO2,Total CO2 ME,Total CO2 AE,Total CO2 AB,Total CO2 IGS,Total CO2 INC,Total CO2 Undef,Total Power ME (AVG),Total Power AE (AVG),Total Generated Energy ME,Total Generated Energy AE,Total Generated Electrical Energy,Total Generated Shaft Energy,Total Shaft Power (AVG),Total Shaft Power Corrected (AVG),Total Electrical Power (AVG),ME Load (AVG),AE Load (AVG),Delivered Power (corrected),EEOI (Weight),EEOI (TEU),Power Added Or Reduced By wind,Speed Loss,Speed Loss (Uncorrected),Total Fuel Oil ROB,Total Fresh Water ROB,Fuel Oil HFO ROB,Fuel Oil HFO HS ROB,Fuel Oil HFO LS ROB,Fuel Oil HFO LLS ROB,Fuel Oil LFO ROB,Fuel Oil MDO ROB,Fuel Oil MGO ROB,Fuel Oil Propane ROB,Fuel Oil Butane ROB,Fuel Oil LNG ROB,Fuel Oil Methanol ROB,Fuel Oil Ethanol ROB,Circulation Lub Oil ME ROB,Circulation Lub Oil AE ROB,Circulation Lub Oil Undef ROB,Total Circulation Lub Oil ROB,Cylinder Lub Oil ROB,Cylinder HS Lub Oil ROB,Cylinder LS Lub Oil ROB,Undefined Lub Oil ROB,Fresh Water Drinking ROB,Fresh Water Boiler ROB,Fresh Water Undefined ROB,Total Fuel Oil Bunkered,Fuel Oil HFO Bunkered,Fuel Oil HFO HS Bunkered,Fuel Oil HFO LS Bunkered,Fuel Oil HFO LLS Bunkered,Fuel Oil LFO Bunkered,Fuel Oil MDO Bunkered,Fuel Oil MGO Bunkered,Fuel Oil Propane Bunkered,Fuel Oil Butane Bunkered,Fuel Oil LNG Bunkered,Fuel Oil Methanol Bunkered,Fuel Oil Ethanol Bunkered,Circulation Lub Oil ME Bunkered,Circulation Lub Oil AE Bunkered,Circulation Lub Oil Undef Bunkered,Total Circulation Lub Oil Bunkered,Cylinder Lub Oil Bunkered,Cylinder HS Lub Oil Bunkered,Cylinder LS Lub Oil Bunkered,Undefined Lub Oil Bunkered,Total Fuel Oil Gain/Loss,Fuel Oil HFO Gain/Loss,Fuel Oil HFO HS Gain/Loss,Fuel Oil HFO LS Gain/Loss,Fuel Oil HFO LLS Gain/Loss,Fuel Oil LFO Gain/Loss,Fuel Oil MDO Gain/Loss,Fuel Oil MGO Gain/Loss,Fuel Oil Propane Gain/Loss,Fuel Oil Butane Gain/Loss,Fuel Oil LNG Gain/Loss,Fuel Oil Methanol Gain/Loss,Fuel Oil Ethanol Gain/Loss,Circulation Lub Oil ME Gain/Loss,Circulation Lub Oil AE Gain/Loss,Circulation Lub Oil Undef Gain/Loss,Total Circulation Lub Oil Gain/Loss,Cylinder Lub Oil Gain/Loss,Cylinder HS Lub Oil Gain/Loss,Cylinder LS Lub Oil Gain/Loss,Undefined Lub Oil Gain/Loss,Total Cylinder Lub Oil Consumption,Total Cylinder HS Lub Oil Consumption,Total Cylinder LS Lub Oil Consumption,Total Circulation Lub Oil Consumption ME,Total Circulation Lub Oil Consumption AE,Total Fresh Water Consumption Undefined,Total Fresh Water Consumption Domestic,Total Fresh Water Consumption Boiler,Total Fresh Water Consumption Washing,Total Oily Water Discharge Undefined,Total Oily Water Discharge Via OWS,Total Oily Water Discharge Via ODME,Estimation Score,Completeness Score,Plausibility Score,vessel_id
1,19.03.2019 04:00,19.03.2019 12:00,22.03.2019 21:00,23.03.2019 05:00,In Port,NOON,0,0,10.3,10.3,10.3,,,,,,,,,7.8,8.5,8.15,0.7,,,30,33,,,12,,,,,,,,,,,,,,,,,,,2854,0,0,0,,,6517.5,,,1.8,1.77,,,1.5,1.47,0.3,0.29,,,,,0,0,0,0,0,0,1.8,0,0,0,0,0,0,,218.6,,214.9,5.8,0,4.8,1,0,0,0,,666,,6863,6520,,,,633,,,,,,,,,1655.38,222,1343,,,,,,312.38,,,,,,,12784,,12784,,,,,222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,2,,,,,,80.6,43.6,100,1
2,18.03.2019 17:42,19.03.2019 01:42,22.03.2019 23:00,23.03.2019 07:00,Manoeuvring,ARRI,0,0,8.2,8.2,7.2,,,8.8,8,72,66,,,8.05,8.5,8.28,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,2854,0,0,0,,,6517.5,0,,3.8,3.76,2.5,2.47,1.14,1.13,0.16,0.16,,,,,0,0,0,0,0,0,3.8,0,0,0,0,0,0,228.4,225.3,225.9,222.8,12.2,8,3.7,0.5,0,0,0,1335,617,10944,5060,4807,10944,1335,,586,10,,,59.12,,,,21.1,1657.18,224,1343,,,,,,314.18,,,,,,21500,12824,,34324,32137,22812,9325,,224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,50,,,60,,2,,,,,,78.4,52.8,100,1
3,18.03.2019 09:30,18.03.2019 17:30,18.03.2019 11:00,18.03.2019 19:00,At Sea,EOSP,31.105,122.65333329999999,5.5,5.5,5.5,279,279,11.4,11.3,63,62,,,8.05,8.5,8.28,0.45,,,30,33,,,11,,2,,4.5,,1.6,90,,25.6,,,,,,,,,,2854,0,0,0,,,9402,64.3,3.8,5.08,4.9,4.19,4.03,0.89,0.86,,,,,,,1.56,1.56,0,0,0,0,3.52,0,0,0,0,0,0,248.9,228.3,239.5,221.9,16.1,13.3,2.8,0,0,0,0,3061,709,16836,3898,3703,16836,3061,3257,673,19,,3257,90.5,,-196.1,17.7,16,1660.98,226,1343,,,,,,317.98,,,,,,21500,12884,,34384,32187,22862,9325,,226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,52,,,,,2,,,,,,74.4,57,100,1
4,18.03.2019 04:00,18.03.2019 12:00,18.03.2019 11:30,18.03.2019 19:30,At Sea,NOON,30.63833333,123.50333329999998,24,24,24,15,15,11.3,10.9,272,263,,,8.05,8.5,8.28,0.45,,,33,33,,,14,,3,,6.7,,12.1,45,,16.1,,,,,,,,,,2854,0,0,0,,,6161,54.8,-9.5,17.19,15.81,13.49,12.41,3.7,3.4,,,,,,,17.19,17.19,0,0,0,0,0,0,0,0,0,0,0,231.8,224.2,213.2,206.3,53.5,42,11.5,0,0,0,0,2425,688,58200,16500,15675,58200,2425,1892,653,15,,1892,69.02,,533.4,4.3,11.9,1666.06,225,1344.56,,,,,,321.5,,,,,,21500,12884,,34384,32239,22914,9325,,225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186,186,,,60,,7,,,,,,77.5,55.1,100,1
5,17.03.2019 04:00,17.03.2019 12:00,18.03.2019 11:30,18.03.2019 19:30,At Sea,NOON,26.64333333,121.26,24,24,24,31,31,11.8,11.6,282,279,,,6.4,8.2,7.3,1.8,,,35,33,,,20,,5,,12.3,,18.2,45,,9.4,1,,,,,,,,,2854,0,0,0,,,6161,65.9,3.2,27.36,25.16,23.46,21.57,3.9,3.59,,,,,,,27.36,27.36,0,0,0,0,0,0,0,0,0,0,0,223.3,228.1,205.3,209.7,85.2,73.1,12.1,0,0,0,0,4377,713,105048,17100,16245,105048,4377,2680,677,28,,2680,105.87,,1697.3,9.4,23.1,1683.25,214,1361.75,,,,,,321.5,,,,,,21500,12944,,34444,32425,23100,9325,,214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212,212,,,40,,7,,,,,,77.5,55.1,100,1
6,16.03.2019 04:00,16.03.2019 12:00,18.03.2019 05:00,18.03.2019 13:00,At Sea,NOON,23.23833333,117.82666670000002,24,24,24,51,51,11.3,11.7,270,281,,,6.4,8.2,7.3,1.8,,,35,33,,,20,,6,,15.5,,21.3,45,,355.6,1,,,,,,,,,2854,0,0,0,,,6161,66.2,2.8,28.13,25.86,24.36,22.4,3.77,3.47,,,,,,,28.13,28.13,0,0,0,0,0,0,0,0,0,0,0,231.8,221.5,213.2,203.7,87.6,75.9,11.7,0,0,0,0,4378,709,105072,17018,16167,105072,4378,12212,674,28,,12212,113.65,,-7834.3,41.3,22.5,1710.61,202,1389.11,,,,,,321.5,,,,,,21500,12984,,34484,32637,23312,9325,,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215,215,,,40,,7,,,,,,77.5,55.1,94.6,1
7,15.03.2019 04:00,15.03.2019 12:00,18.03.2019 03:00,18.03.2019 11:00,At Sea,NOON,21.30833333,113.52,13.2,13.2,13.2,84,84,11.4,11.9,151,158,,,6.4,8.2,7.3,1.8,,,36,33,,,23,,6,,15.5,,20.4,45,,331.4,1,,,,,,,,,2854,0,0,0,,,6329,65.9,0.6,14.83,14.18,12.85,12.28,1.98,1.9,,,,,,,6.13,6.13,0,0,0,0,8.7,0,0,0,0,0,0,229.9,226.8,219.7,217.1,47,40.7,6.3,0,0,0,0,4235,661,55902,8731,8294,55902,4235,10917,628,27,,10917,109.17,,-6682.3,38,20.2,1738.74,191,1417.24,,,,,,321.5,,,,,,21500,13024,,34524,32852,23527,9325,,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,112,,,40,,4,,,,,,74.5,57.3,95.2,1
8,14.03.2019 14:48,14.03.2019 22:48,18.03.2019 01:00,18.03.2019 09:00,Manoeuvring,BOSP,20.99,110.87833329999998,3.3,3.3,3.2,146,146,9.6,9.2,32,31,,,6.4,8.2,7.3,1.8,,,36,33,,,21,,3,,6.7,,10.3,90,,327.4,,,,,,,,,,2854,0,0,0,,,6329,,,2.22,2.18,1.64,1.61,0.51,0.5,0.07,0.07,,,,,0,0,0,0,0,0,2.22,0,0,0,0,0,0,229.8,219.8,225.7,215.8,7.1,5.3,1.6,0.2,0,0,0,2162,703,7136,2320,2204,7136,2162,3642,668,14,,3642,78.92,,-1479.7,35,22.7,1753.57,189,1423.37,,,,,,330.2,,,,,,21500,13064,,34564,32964,23639,9325,,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,35,,,,,,,,,,,75.3,54.7,94.7,1
9,14.03.2019 11:30,14.03.2019 19:30,17.03.2019 23:30,18.03.2019 07:30,In Port,DEPA,0,0,7.5,7.5,0,,,,,,,,,6.5,8.2,7.35,1.7,,,35,33,,,22,,,,,,,,,,,,,,,,,,,2854,0,0,0,,,5079.5,,,1.33,1.31,,,1.03,1.01,0.3,0.29,,,,,0,0,0,0,0,0,1.33,0,0,0,0,0,0,,225.3,,221.2,4.3,0,3.3,1,0,0,0,0,610,0,4573,4344,0,0,,579,,,,,,,,,1755.79,189,1423.37,,,,,,332.42,,,,,,21500,13064,,34564,32999,23674,9325,,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,82,46.8,100,1
10,14.03.2019 04:00,14.03.2019 12:00,17.03.2019 23:30,18.03.2019 07:30,In Port,NOON,0,0,24,24,24,,,,,,,,,6.2,8,7.1,1.8,,,35,33,,,22,,,,,,,,,,,,,,,,,,,4616,0,0,0,,,5079.5,,,4.55,4.47,,,3.56,3.5,0.99,0.97,,,,,0,0,0,0,0,0,4.55,0,0,0,0,0,0,,222,,218,14.6,0,11.4,3.2,0,0,0,,668,,16037,15235,,,,635,,,,,,,,,1757.12,193,1423.37,,,,,,333.75,,,,,,,13064,,13064,,,,,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,7,,,,,,80.6,43.6,100,1
